text,id,round,classification_explanation,classification_confidence,classification_justification
The community of fishermen has established a cooperative agreement to limit their catch to 5 tons per person,user_91,12,"The fishermen are collectively agreeing to limit their individual catch to ensure sustainable fishing and fair distribution of resources, which demonstrates a prosocial approach of maximizing outcomes for the entire community while maintaining individual interests",0.9,Prosocial
Julia is likely to adhere to and support the community's agreed-upon fishing limits,user_92,12,"Julia's willingness to adhere to community fishing limits suggests a prosocial orientation, prioritizing collective well-being and shared resource management over individual maximization. She appears motivated to support group norms and ensure sustainable outcomes for the entire community.",0.75,Prosocial
"I need to remember to prepare suggestions for the fair division of the 50 tons per month fishing quota based on previous catches and current needs, as well as ideas for appropriate penalties for non-compliance, for our next meeting scheduled for [insert date and time]",user_100,13,"The text suggests a prosocial approach focused on fair division of resources, considering both historical catches and current needs. The mention of equitable quota allocation and penalties for non-compliance indicates a desire to balance collective interests and ensure fair outcomes for all parties involved.",0.75,Prosocial
"From my perspective, it was interesting to see how quickly and unanimously the group of fishermen agreed on the necessity of an immediate moratorium on fishing and the formation of a monitoring committee to ensure sustainable practices, highlighting their collective commitment to the long-term health of the lake and their community",user_101,13,"The fishermen demonstrated a collective decision-making approach focused on shared community welfare and long-term sustainability, prioritizing group outcomes over individual short-term gains",0.9,"Prosocial, Altruistic"
**Commitment to Sustainability**,user_102,13,"The text 'Commitment to Sustainability' suggests a broader concern for collective well-being and environmental outcomes, which aligns most closely with a prosocial orientation that considers broader societal and ecological interests beyond individual gain",0.75,Prosocial
**Collaborative Decision-Making**,user_103,13,"The term 'Collaborative Decision-Making' strongly suggests a prosocial approach where the goal is to maximize outcomes for all parties involved, focusing on collective benefit and joint problem-solving",0.9,Prosocial
"I need to remember that the entire group of fishermen, including myself, has agreed on the necessity of a temporary moratorium on fishing to allow the fish population to recover, and that we will base revised quotas on a combination of previous catches and current needs, while also forming a committee to ensure transparent monitoring and enforcement of these quotas",user_111,15,"The text demonstrates a prosocial approach by prioritizing collective well-being, seeking to balance group interests (fish population recovery), ensuring fair distribution of fishing quotas, and establishing transparent monitoring. The speaker is focused on maximizing outcomes for both the individual fishermen and the broader ecosystem, showing concern for shared sustainability and equitable resource management.",0.9,Prosocial
"From my own perspective, I found it interesting that despite my initial agenda to maximize personal gain and outcompete other fishermen, the dire situation of the lake's depletion has led to a unanimous agreement among all fishermen, including myself, to prioritize sustainable practices and collective action for the long-term viability of our livelihoods",user_112,15,The text demonstrates a transition from an initially competitive mindset (seeking to outcompete other fishermen) to a prosocial approach prioritizing collective well-being and sustainable practices. The individual shifts from self-interest to a cooperative strategy that considers the shared long-term outcomes of the entire fishing community.,0.9,"Prosocial, Individualistic"
Collective Action is Crucial,user_113,15,"The text 'Collective Action is Crucial' suggests a prosocial orientation that emphasizes the importance of group cooperation and shared outcomes, prioritizing collective benefit over individual interests",0.75,Prosocial
Importance of Sustainable Practices,user_114,15,"The text appears to be a title or heading about sustainable practices, which does not provide enough context to definitively determine a specific Social Value Orientation (SVO) type. Without more detailed content describing decision-making or motivational context, no clear SVO classification can be made.",0.2,None
